icao,season,period,view,condition,taf_forecast,taf_hit,taf_pct,metar_observed,metar_caught,metar_pct
SBAE,Verao,TODOS,sem_intensidade,TS,5,0,0.0,0,0,
SBAE,Verao,TODOS,sem_intensidade,TSRA,23,0,0.0,0,0,
SBAE,Verao,TODOS,sem_intensidade,+RA,0,0,,0,0,
SBAE,Outono,00-06,exato,TS,0,0,,0,0,
SBAE,Outono,00-06,exato,+RA,0,0,,0,0,
SBAE,Outono,00-06,exato,+TSRA,0,0,,0,0,
SBAE,Outono,00-06,exato,TSRA,0,0,,0,0,
SBAE,Outono,00-06,sem_intensidade,TS,0,0,,0,0,
SBAE,Outono,00-06,sem_intensidade,TSRA,0,0,,0,0,
SBAE,Outono,00-06,sem_intensidade,+RA,0,0,,0,0,
SBAE,Outono,06-12,exato,TS,0,0,,0,0,
SBAE,Outono,06-12,exato,+RA,0,0,,0,0,
SBAE,Outono,06-12,exato,+TSRA,0,0,,0,0,
SBAE,Outono,06-12,exato,TSRA,0,0,,0,0,
SBAE,Outono,06-12,sem_intensidade,TS,0,0,,0,0,
SBAE,Outono,06-12,sem_intensidade,TSRA,0,0,,0,0,
SBAE,Outono,06-12,sem_intensidade,+RA,0,0,,0,0,
SBAE,Outono,12-18,exato,TS,0,0,,0,0,
SBAE,Outono,12-18,exato,+RA,0,0,,0,0,
SBAE,Outono,12-18,exato,+TSRA,0,0,,0,0,
SBAE,Outono,12-18,exato,TSRA,0,0,,0,0,
SBAE,Outono,12-18,sem_intensidade,TS,0,0,,0,0,
SBAE,Outono,12-18,sem_intensidade,TSRA,0,0,,0,0,
SBAE,Outono,12-18,sem_intensidade,+RA,0,0,,0,0,
SBAE,Outono,18-24,exato,TS,0,0,,0,0,
SBAE,Outono,18-24,exato,+RA,0,0,,0,0,
SBAE,Outono,18-24,exato,+TSRA,0,0,,1,0,0.0
SBAE,Outono,18-24,exato,TSRA,6,0,0.0,0,0,
SBAE,Outono,18-24,sem_intensidade,TS,0,0,,0,0,
SBAE,Outono,18-24,sem_intensidade,TSRA,6,2,33.3,2,2,100.0
SBAE,Outono,18-24,sem_intensidade,+RA,0,0,,0,0,
SBAE,Outono,TODOS,exato,TS,0,0,,0,0,
SBAE,Outono,TODOS,exato,+RA,0,0,,0,0,
SBAE,Outono,TODOS,exato,+TSRA,0,0,,1,0,0.0
SBAE,Outono,TODOS,exato,TSRA,6,0,0.0,0,0,
SBAE,Outono,TODOS,sem_intensidade,TS,0,0,,0,0,
SBAE,Outono,TODOS,sem_intensidade,TSRA,6,2,33.3,2,2,100.0
SBAE,Outono,TODOS,sem_intensidade,+RA,0,0,,0,0,
SBAE,Inverno,00-06,exato,TS,0,0,,0,0,
SBAE,Inverno,00-06,exato,+RA,0,0,,0,0,
SBAE,Inverno,00-06,exato,+TSRA,0,0,,0,0,
SBAE,Inverno,00-06,exato,TSRA,0,0,,0,0,
SBAE,Inverno,00-06,sem_intensidade,TS,0,0,,0,0,
SBAE,Inverno,00-06,sem_intensidade,TSRA,0,0,,0,0,
SBAE,Inverno,00-06,sem_intensidade,+RA,0,0,,0,0,
SBAE,Inverno,06-12,exato,TS,0,0,,0,0,
SBAE,Inverno,06-12,exato,+RA,0,0,,0,0,
SBAE,Inverno,06-12,exato,+TSRA,0,0,,0,0,
SBAE,Inverno,06-12,exato,TSRA,0,0,,0,0,
SBAE,Inverno,06-12,sem_intensidade,TS,0,0,,0,0,
SBAE,Inverno,06-12,sem_intensidade,TSRA,0,0,,0,0,
SBAE,Inverno,06-12,sem_intensidade,+RA,0,0,,0,0,
SBAE,Inverno,12-18,exato,TS,0,0,,0,0,
SBAE,Inverno,12-18,exato,+RA,0,0,,0,0,
SBAE,Inverno,12-18,exato,+TSRA,0,0,,0,0,
SBAE,Inverno,12-18,exato,TSRA,0,0,,0,0,
SBAE,Inverno,12-18,sem_intensidade,TS,0,0,,0,0,
SBAE,Inverno,12-18,sem_intensidade,TSRA,0,0,,1,0,0.0
SBAE,Inverno,12-18,sem_intensidade,+RA,0,0,,0,0,
SBAE,Inverno,18-24,exato,TS,0,0,,0,0,
SBAE,Inverno,18-24,exato,+RA,0,0,,0,0,
SBAE,Inverno,18-24,exato,+TSRA,0,0,,0,0,
SBAE,Inverno,18-24,exato,TSRA,3,0,0.0,0,0,
SBAE,Inverno,18-24,sem_intensidade,TS,0,0,,0,0,
SBAE,Inverno,18-24,sem_intensidade,TSRA,3,0,0.0,0,0,
SBAE,Inverno,18-24,sem_intensidade,+RA,0,0,,0,0,
SBAE,Inverno,TODOS,exato,TS,0,0,,0,0,
SBAE,Inverno,TODOS,exato,+RA,0,0,,0,0,
SBAE,Inverno,TODOS,exato,+TSRA,0,0,,0,0,
SBAE,Inverno,TODOS,exato,TSRA,3,0,0.0,0,0,
SBAE,Inverno,TODOS,sem_intensidade,TS,0,0,,0,0,
SBAE,Inverno,TODOS,sem_intensidade,TSRA,3,0,0.0,1,0,0.0
SBAE,Inverno,TODOS,sem_intensidade,+RA,0,0,,0,0,
SBAE,Primavera,00-06,exato,TS,0,0,,0,0,
SBAE,Primavera,00-06,exato,+RA,0,0,,0,0,
SBAE,Primavera,00-06,exato,+TSRA,0,0,,0,0,
SBAE,Primavera,00-06,exato,TSRA,0,0,,0,0,
SBAE,Primavera,00-06,sem_intensidade,TS,0,0,,0,0,
SBAE,Primavera,00-06,sem_intensidade,TSRA,0,0,,0,0,
SBAE,Primavera,00-06,sem_intensidade,+RA,0,0,,0,0,
SBAE,Primavera,06-12,exato,TS,0,0,,0,0,
SBAE,Primavera,06-12,exato,+RA,0,0,,0,0,
SBAE,Primavera,06-12,exato,+TSRA,0,0,,0,0,
SBAE,Primavera,06-12,exato,TSRA,0,0,,0,0,
SBAE,Primavera,06-12,sem_intensidade,TS,0,0,,0,0,
SBAE,Primavera,06-12,sem_intensidade,TSRA,0,0,,0,0,
SBAE,Primavera,06-12,sem_intensidade,+RA,0,0,,0,0,
SBAE,Primavera,12-18,exato,TS,1,0,0.0,0,0,
SBAE,Primavera,12-18,exato,+RA,0,0,,0,0,
SBAE,Primavera,12-18,exato,+TSRA,0,0,,0,0,
SBAE,Primavera,12-18,exato,TSRA,1,0,0.0,0,0,
SBAE,Primavera,12-18,sem_intensidade,TS,1,0,0.0,0,0,
SBAE,Primavera,12-18,sem_intensidade,TSRA,1,0,0.0,1,0,0.0
SBAE,Primavera,12-18,sem_intensidade,+RA,0,0,,0,0,
SBAE,Primavera,18-24,exato,TS,3,0,0.0,0,0,
SBAE,Primavera,18-24,exato,+RA,0,0,,0,0,
SBAE,Primavera,18-24,exato,+TSRA,0,0,,0,0,
