icao,season,period,view,condition,taf_forecast,taf_hit,taf_pct,metar_observed,metar_caught,metar_pct
SBAC,Inverno,TODOS,exato,+RA,0,0,,0,0,
SBAC,Inverno,TODOS,exato,+TSRA,0,0,,0,0,
SBAC,Inverno,TODOS,exato,TSRA,0,0,,0,0,
SBAC,Inverno,TODOS,sem_intensidade,TS,0,0,,0,0,
SBAC,Inverno,TODOS,sem_intensidade,TSRA,0,0,,0,0,
SBAC,Inverno,TODOS,sem_intensidade,+RA,0,0,,0,0,
SBAC,Primavera,00-06,exato,TS,0,0,,0,0,
SBAC,Primavera,00-06,exato,+RA,0,0,,0,0,
SBAC,Primavera,00-06,exato,+TSRA,0,0,,0,0,
SBAC,Primavera,00-06,exato,TSRA,0,0,,0,0,
SBAC,Primavera,00-06,sem_intensidade,TS,0,0,,0,0,
SBAC,Primavera,00-06,sem_intensidade,TSRA,0,0,,0,0,
SBAC,Primavera,00-06,sem_intensidade,+RA,0,0,,0,0,
SBAC,Primavera,06-12,exato,TS,0,0,,0,0,
SBAC,Primavera,06-12,exato,+RA,0,0,,0,0,
SBAC,Primavera,06-12,exato,+TSRA,0,0,,0,0,
SBAC,Primavera,06-12,exato,TSRA,0,0,,0,0,
SBAC,Primavera,06-12,sem_intensidade,TS,0,0,,0,0,
SBAC,Primavera,06-12,sem_intensidade,TSRA,0,0,,0,0,
SBAC,Primavera,06-12,sem_intensidade,+RA,0,0,,0,0,
SBAC,Primavera,12-18,exato,TS,0,0,,0,0,
SBAC,Primavera,12-18,exato,+RA,0,0,,0,0,
SBAC,Primavera,12-18,exato,+TSRA,0,0,,0,0,
SBAC,Primavera,12-18,exato,TSRA,0,0,,0,0,
SBAC,Primavera,12-18,sem_intensidade,TS,0,0,,0,0,
SBAC,Primavera,12-18,sem_intensidade,TSRA,0,0,,0,0,
SBAC,Primavera,12-18,sem_intensidade,+RA,0,0,,0,0,
SBAC,Primavera,18-24,exato,TS,0,0,,0,0,
SBAC,Primavera,18-24,exato,+RA,0,0,,0,0,
SBAC,Primavera,18-24,exato,+TSRA,0,0,,0,0,
SBAC,Primavera,18-24,exato,TSRA,0,0,,0,0,
SBAC,Primavera,18-24,sem_intensidade,TS,0,0,,0,0,
SBAC,Primavera,18-24,sem_intensidade,TSRA,0,0,,0,0,
SBAC,Primavera,18-24,sem_intensidade,+RA,0,0,,0,0,
SBAC,Primavera,TODOS,exato,TS,0,0,,0,0,
SBAC,Primavera,TODOS,exato,+RA,0,0,,0,0,
SBAC,Primavera,TODOS,exato,+TSRA,0,0,,0,0,
SBAC,Primavera,TODOS,exato,TSRA,0,0,,0,0,
SBAC,Primavera,TODOS,sem_intensidade,TS,0,0,,0,0,
SBAC,Primavera,TODOS,sem_intensidade,TSRA,0,0,,0,0,
SBAC,Primavera,TODOS,sem_intensidade,+RA,0,0,,0,0,
SBAC,TODAS,00-06,exato,TS,0,0,,0,0,
SBAC,TODAS,00-06,exato,+RA,0,0,,0,0,
SBAC,TODAS,00-06,exato,+TSRA,0,0,,0,0,
SBAC,TODAS,00-06,exato,TSRA,0,0,,0,0,
SBAC,TODAS,00-06,sem_intensidade,TS,0,0,,0,0,
