ident,latitude_deg,longitude_deg,iata_code
SNFO,-20.395299911499023,-45.48360061645508,
SNFF,-3.809903,-38.614597,
SSFE,-25.460699,-54.598468,
BR-2997,-27.347778,-53.4025,
SSGA,-29.269047,-51.531674,
SIGN,-15.571389198303223,-53.233612060546875,
BR-1218,-27.862438,-52.185247,
SWOA,-16.539443969726562,-49.398887634277344,
BR-0135,-15.920225,-50.193045,
SIII,-20.433126,-48.225367,
SNNM,-25.56849,-51.495162,
SSGB,-25.881559,-48.611759,
SSHZ,-27.6383,-54.3391,HRZ
SWHT,-7.532120227810001,-63.072101593,HUW
SSAB,-23.762199,-50.263,
SWYV,-21.09149,-49.224249,
SNIG,-6.346319,-39.294448,QIG
SSIJ,-28.368711,-53.846568,IJU
BR-1754,-28.179474,-48.682791,
BR-2377,-23.427111,-47.582061,
SDED,-22.440516,-47.700402,
SNIC,-11.339900016784668,-41.84700012207031,IRE
SIGT,-23.989445,-49.179169,
SIJY,-26.983055,-48.816387,ITJ
BR-2556,-22.435479,-45.482411,
BR-2266,-23.349722,-47.327778,
SDJC,-21.229755,-48.284212,
SDXE,-21.264799118041992,-48.35609817504883,
SDMV,-22.275223,-48.60415,
SWKA,-15.595277786254883,-51.25722122192383,
SNLY,-20.061399459838867,-45.554901123046875,
SSOL,-21.240601,-44.963902,VRZ
BR-2238,-22.603889,-47.411944,
SSWM,-23.495871,-51.320029,
SWMC,-21.458332061767578,-47.887779235839844,
BR-1675,-12.06822,-45.71153,
SWFN,-3.072917,-60.021937,
SDPA,-22.927133,-44.080185,
BR-1279,-11.08977,-54.532762,
SWME,-17.551399,-52.556702,
SSSP,-20.0402774810791,-56.310001373291016,
SDAS,-21.276203,-51.283088,
SJCA,-21.532177,-47.04727,
SDKK,-21.487802,-47.034123,
SDMJ,-22.410842,-46.90576,
BR-0724,-16.449075,-49.012169,
SNBM,-21.126101,-42.394402,
SWHD,-23.022277,-53.901218,
SWXV,-14.697778,-52.347246,NOK
SSNH,-29.69610023498535,-51.08169937133789,QHV
SSOS,-29.902286,-50.249191,
SDOW,-6.762992,-51.04993,OIA
SNOF,-22.297213,-46.392418,
SSPS,-26.472000122070312,-51.97589874267578,
SSPN,-19.651199,-51.199402,PBB
SSPI,-23.089899,-52.488499,PVI
BR-0535,-6.639812,-36.653894,
SSAQ,-28.250601,-52.516701,
SNOS,-20.731838,-46.662011,PSW
SNPJ,-18.909400939941406,-46.98270034790039,
SSOI,-22.307222366333008,-48.771942138671875,
BR-3043,-11.733611,-49.333889,
SNPC,-7.061385,-41.525871,PCS
SDZH,-22.890556,-45.493056,
SJQE,-25.407713,-49.050479,
SISY,-25.450986,-49.1422,
SB06,-15.8489,-48.982601,
BR-0108,-4.335206,-41.768978,
SWCT,-17.366367,-56.791377,
SWYK,-17.062599,-56.583698,
SSBN,-30.188978,-51.182148,
SDYS,-27.173611,-48.631111,
SSPM,-21.7096,-57.880199,
BR-0669,-16.358824,-39.01528,
SSXO,-23.288888931274414,-52.12916564941406,
SWHR,-21.856125,-52.185663,
SDPV,-21.893299,-51.884399,
SDRC,-22.181663,-50.865319,
SIIG,-22.359959,-51.101661,
SD2I,-22.175443,-50.909067,
BR-1316,-22.164531,-50.964731,
SNDC,-8.031188,-49.979687,RDC
SDYJ,-22.226225,-51.348806,
SJEH,-22.101357,-48.226719,
SWGK,-12.56158,-51.694515,
SSCM,-21.61412,-54.79561,
BR-1054,-22.983968,-43.37706,
BR-3181,-19.441362,-55.063562,
BR-0423,-19.51719,-55.231771,
BR-0075,-11.655585,-61.775907,
BR-2173,-20.0403,-47.421501,
SDES,-20.761969,-47.862237,
SNSS,-16.2083,-42.321999,
SDBN,-23.687623,-47.557561,
SWRT,-17.3477783203125,-53.19305419921875,
SWFL,-10.093889,-50.382778,
SWII,-2.940141,-69.694264,IPG
SWLV,-15.8534,-56.087399,
SWBE,-4.042841,-40.893813,JSB
SSSB,-28.6549,-56.034599,JBS
SWFX,-11.6324,-50.689602,SXO
SNFX,-6.6413,-51.9523,SXX
SSSS,-26.219866,-48.567381,
SSGO,-19.428081,-54.588751,
SIPA,-21.647157,-46.928262,
SSUL,-25.476944,-49.154167,
SNLO,-22.0909,-45.044498,SSO
SSRU,-31.38330078125,-52.032798767089844,SQY
SDNO,-22.695801,-48.576599,
SDRA,-23.875601,-48.0518,
SWUA,-13.3313,-50.197601,SQM
SDAE,-22.583127,-47.896111,
SBES,-22.812901,-42.092602,
SWKQ,-9.083392,-42.644656,NSR
SNPY,-20.9482,-46.9832,
SSEP,-30.182199,-53.579399,
BR-3151,-17.984285,-52.574043,
BR-0461,-12.594051,-55.697996,
SNQD,-6.78544,-38.233398,
BR-2988,-20.661666870117,-50.841667175293,
SJWN,-23.56246,-49.257689,
SDZG,-5.9334,-40.2975,JTA
SDET,-23.105033,-47.723814,
BR-1079,-27.28808,-48.657706,
SNDR,-5.07979,-42.873699,
SSTB,-26.135799,-50.310902,
SNVI,-21.789115,-45.26818,
SDL7,-16.591698,-49.394107,
SDTI,-21.392141,-51.59959,
SNUB,-21.121,-42.881901,
SDTO,-21.25517,-49.79484,
SBUY,-4.884263,-65.355421,RPU
SIYK,-17.456666946411133,-48.21527862548828,
SDVE,-22.230199813842773,-49.81719970703125,
BR-1021,-30.119814,-50.853653,
SNUG,-14.9555559158,-59.622779846200004,
SIVU,-20.422911,-40.332484,
SWXU,-10.663718,-68.485873,
SBAC,-4.568896,-37.805135,ARX
SBGM,-10.78641,-65.28486,GJM
SBMC,-13.5491,-48.195301,MQH
BR-2182,-4.94727,-38.008202,
SBTA,-23.0401,-45.51615,
SNMU,-18.048901,-39.864321,MVS
SNYA,-1.479524,-52.578214,GGF
BR-0263,-6.8827,-38.61583,CJZ
SNL3,-18.267161,-56.487952,
SNM6,-22.396719,-53.680777,
SWGT,-17.172918,-50.208507,
SIZX,-11.2966,-57.5495,JUA
SJOH,-2.186667,-56.090279,JRT
SWLB,-7.27897,-64.769501,LBR
SIRI,-13.906082,-38.940804,MUU
SNTI,-1.867981,-55.514596,OBI
SNZR,-17.242599,-46.883099,PYT
SNEB,-3.019798,-47.316474,JPE
SNFH,-22.559118,-55.381143,
SWTP,-0.378604,-64.992558,IRZ
SWTS,-14.662,-57.443744,TGQ
BR-0925,-13.240032,-39.759292,
SSDK,-20.075955,-44.727917,
